Date,OPEN,HIGH,LOW,PREV. CLOSE,ltp,close,vwap,52W H,52W L,VOLUME,VALUE
11/12/2021,506.95,509.55,497.35,503.45,507.35,507.05,503.75,530,138.7,20731808,"10,443,601,228.35"
11/11/2021,510,519,501,510.75,504.5,503.45,508.46,530,138.7,29256213,"14,875,701,882.25"
11/10/2021,506.25,515.95,500.2,509.65,511,510.75,510.99,530,138.7,26615777,"13,600,481,542.90"
11/9/2021,505,520.65,503.5,501.4,511,509.65,513.35,530,138.7,50458762,"25,902,972,391.10"
11/8/2021,493.9,504.85,490.25,489.7,501,501.4,499.44,530,138.7,31736426,"15,850,376,263.15"
11/4/2021,489.8,493.55,488,484.9,490.05,489.7,490.51,530,131.1,5531940,"2,713,457,669.50"
11/3/2021,483.8,495,481.6,487.85,485.2,484.9,488.21,530,131.1,22950198,"11,204,555,640.25"
11/2/2021,506.5,510,486.5,485.7,488.05,487.85,494.31,530,131.1,51580720,"25,497,058,290.35"
11/1/2021,486.45,489.7,469.8,483.7,486.4,485.7,481.98,530,131.1,34315690,"16,539,532,647.70"
10/29/2021,482,491.6,467.7,481.05,484.45,483.7,483.64,530,130,31054342,"15,019,165,853.80"
10/28/2021,493.9,493.9,478.55,497.9,481.8,481.05,486.77,530,130,25182748,"12,258,182,942.70"
10/27/2021,505.75,506.55,496,508.65,496.8,497.9,501.37,530,130,30361263,"15,222,114,327.25"
10/26/2021,483.5,510,483.25,479.9,508.2,508.65,500.54,530,130,58027770,"29,044,966,108.20"
10/25/2021,493.9,496,473.25,490.9,478.8,479.9,480.93,530,130,33107841,"15,922,445,349.70"
10/22/2021,509.9,510.7,487.4,508,490.6,490.9,496.34,530,126.35,42742785,"21,214,749,436.80"
10/21/2021,491.75,510.4,485.75,486.9,508.95,508,497.29,530,126.35,52608672,"26,161,533,123.30"
10/20/2021,481.8,497,471.25,481.9,489.7,486.9,484.21,530,126.35,55444814,"26,847,160,147.10"
10/19/2021,512.45,517.4,476.05,509.6,484.75,481.9,498.07,530,126.35,57428637,"28,603,517,918.75"
10/18/2021,507,525,503.6,497.6,509.8,509.6,515.47,530,126.35,72322623,"37,280,104,214.00"
10/14/2021,530,530,492,506.9,496.6,497.6,502.86,530,126,103630901,"52,112,335,535.05"
10/13/2021,462.9,523.85,462.9,420.85,509.7,506.9,497.76,523.85,126,197949387,"98,531,750,923.15"
10/12/2021,423,435.7,413.6,415.75,421.25,420.85,424.35,435.7,126,97349265,"41,309,726,127.65"
10/11/2021,390.15,420.9,388,382.95,417.8,415.75,411.01,420.9,126,113404983,"46,610,095,970.25"
10/8/2021,385.9,397.55,380,376.5,382.8,382.95,386.46,397.55,126,93728117,"36,222,633,520.35"
10/7/2021,341.1,383,339.25,336.05,378.5,376.5,368.3,383,126,163238084,"60,120,343,470.50"
10/6/2021,347,348.7,335,344.95,335.6,336.05,340.48,360.75,126,25272592,"8,604,815,719.30"
10/5/2021,340.45,351.5,338.85,342,345,344.95,346.53,360.75,126,31861985,"11,041,234,205.50"
10/4/2021,336.8,343.25,335.15,333.3,342,342,340.89,360.75,126,29553072,"10,074,442,359.75"
10/1/2021,332.65,337.3,325.7,333.35,332.9,333.3,331.4,360.75,126,29877695,"9,901,358,903.80"
9/30/2021,331.25,337.9,329.1,330.25,333.7,333.35,333.73,360.75,126,30268517,"10,101,655,877.85"
9/29/2021,325,333,324,329.3,330.35,330.25,329,360.75,126,19740150,"6,494,551,004.15"
9/28/2021,334,336,324.5,331.65,328.7,329.3,330.97,360.75,126,28497009,"9,431,666,794.80"
9/27/2021,323.15,333.6,323.15,317.95,331,331.65,329.81,360.75,126,56305136,"18,569,825,202.30"
9/24/2021,325.1,326.95,316.05,321.5,317.6,317.95,321.43,360.75,122.15,28901243,"9,289,643,290.45"
9/23/2021,313.2,324,313.2,310.1,321,321.5,320.11,360.75,122.15,52701665,"16,870,293,520.55"
9/22/2021,303.15,313.8,303,301.95,310,310.1,309.74,360.75,122.15,29545253,"9,151,342,129.05"
9/21/2021,298.6,302.7,293.1,298.95,301.6,301.95,297.82,360.75,122.15,19439330,"5,789,349,711.65"
9/20/2021,304.9,310.25,297.3,308.6,297.8,298.95,304.42,360.75,122.15,19632688,"5,976,499,097.70"
9/17/2021,312,315.35,306,311.65,308.15,308.6,310.9,360.75,122.15,24972069,"7,763,920,118.90"
9/16/2021,313.4,315,307.65,311.95,311,311.65,312.21,360.75,122.15,26249369,"8,195,341,074.20"
9/15/2021,306.1,313,306.1,306.1,311.5,311.95,309.45,360.75,122.15,26808872,"8,295,956,079.20"
9/14/2021,302.25,307.2,302.2,301.2,305.75,306.1,304.96,360.75,122.15,23234649,"7,085,551,281.25"
9/13/2021,299,302,295.5,298.95,301.05,301.2,298.84,360.75,122.15,16339860,"4,882,931,574.05"
9/9/2021,294,303.5,293.55,295.25,298.4,298.95,300.46,360.75,122.15,34020970,"10,222,047,776.45"
9/8/2021,293.5,298.8,291.6,294.6,295.05,295.25,295.58,360.75,122.15,14920479,"4,410,203,466.15"
9/7/2021,297.35,297.8,290.9,297.45,294.5,294.6,294.55,360.75,122.15,14325904,"4,219,721,851.30"
9/6/2021,297.5,298.95,296,295.55,297,297.45,297.59,360.75,122.15,16622865,"4,946,794,710.15"
9/3/2021,292.5,296.45,292,293.15,295,295.55,294.86,360.75,122.15,16594135,"4,892,994,837.60"
9/2/2021,295.25,296.3,291.7,295.25,293.05,293.15,293.75,360.75,122.15,14907001,"4,378,976,748.85"
9/1/2021,289,297.4,287.3,287.3,294.65,295.25,291.96,360.75,122.15,33103168,"9,664,696,314.10"
8/31/2021,291.75,291.95,286.1,291.95,287.6,287.3,287.52,360.75,122.15,36951003,"10,624,019,307.25"
8/30/2021,290.1,293.5,289.9,285.75,291.75,291.95,291.92,360.75,122.15,17217097,"5,025,951,682.65"
8/27/2021,282.9,286.8,281.7,284.3,285.6,285.75,284.79,360.75,120.8,13477390,"3,838,286,971.20"
8/26/2021,284.85,287.35,281.65,284.4,284.8,284.3,284.32,360.75,120.8,17864053,"5,079,191,329.80"
8/25/2021,282.8,289.2,282.45,279.8,284.5,284.4,286.42,360.75,120.8,31538128,"9,033,271,163.15"
8/24/2021,278.5,281.5,268.45,276.95,280.8,279.8,275.4,360.75,120.8,37589121,"10,352,220,779.20"
8/23/2021,287.2,288.3,275,283.1,276.95,276.95,280.28,360.75,120.8,24498294,"6,866,325,905.50"
8/20/2021,289.5,290.7,281,293.35,281.6,283.1,286.21,360.75,120.15,32578752,"9,324,363,271.45"
8/18/2021,296.9,297.75,292.6,297.7,293.15,293.35,294.81,360.75,120.15,18004320,"5,307,790,613.90"
8/17/2021,302.8,302.8,292.8,303.7,296.95,297.7,297.38,360.75,120.15,25539214,"7,594,758,425.60"
8/16/2021,305.95,307.85,303.05,307.25,303.5,303.7,305.23,360.75,120.15,14348786,"4,379,745,502.85"
8/13/2021,308.8,311.5,303.05,306,306.5,307.25,307.72,360.75,119.7,34922863,"10,746,546,953.30"
8/12/2021,297.3,307.4,297.3,295.45,306.8,306,302.44,360.75,119.7,33652880,"10,177,925,982.70"
8/11/2021,295.3,297.8,286.45,294.2,295.7,295.45,292.24,360.75,119.7,20802022,"6,079,121,678.45"
8/10/2021,297.9,300.2,291,298.1,294.2,294.2,296.16,360.75,119.7,15173990,"4,493,981,869.10"
8/9/2021,300.75,304.2,296.05,300.05,297.95,298.1,300.08,360.75,119.7,16985859,"5,097,081,270.25"
8/6/2021,300.05,303.4,297.65,299.7,300.2,300.05,300.96,360.75,102.9,16001898,"4,816,007,897.35"
8/5/2021,295.5,300.9,292.75,298.15,299.5,299.7,296.98,360.75,102.9,20704901,"6,149,039,899.30"
8/4/2021,304.75,306.45,297.2,303.7,298.1,298.15,301.03,360.75,102.9,26186248,"7,882,934,066.65"
8/3/2021,298.5,304.5,297.7,296.85,303.65,303.7,302.05,360.75,102.9,31063992,"9,382,728,680.65"
8/2/2021,299.15,299.4,295.6,293.95,296.7,296.85,297.25,360.75,102.9,19273390,"5,728,921,716.00"
7/30/2021,294,300,293.25,292.9,294.4,293.95,296.77,360.75,101.3,30589609,"9,078,097,108.65"
7/29/2021,287.55,295.4,287.55,284.45,293.8,292.9,292.69,360.75,101.3,57733359,"16,898,072,830.35"
7/28/2021,290,290.9,283.6,291.4,285,284.45,285.94,360.75,101.3,36139725,"10,333,671,968.95"
7/27/2021,293,297.65,288.6,293.15,291,291.4,292.45,360.75,101.3,55132877,"16,123,351,124.90"
7/26/2021,295,297,291,295.55,292.75,293.15,293.67,360.75,101.3,27502360,"8,076,654,790.10"
7/23/2021,300.5,301.9,295,302.55,295.8,295.55,296.59,360.75,101.3,33435130,"9,916,684,182.55"
7/22/2021,305.5,307.45,301.05,302.15,303.1,302.55,303.96,360.75,101.3,21338361,"6,485,990,486.30"
7/20/2021,307,308,301.05,308.85,301.85,302.15,304.33,360.75,101.3,27672567,"8,421,662,362.00"
7/19/2021,308.95,310.3,306,311.25,309.1,308.85,308.28,360.75,101.3,21346348,"6,580,662,107.25"
7/16/2021,311.1,315.45,310.5,310.25,311.1,311.25,312.6,360.75,100.6,25148606,"7,861,376,517.65"
7/15/2021,310.5,312.85,307.6,309.55,310.1,310.25,309.95,360.75,100.6,23617599,"7,320,341,530.70"
7/14/2021,310,313.3,308.65,310.95,309,309.55,310.72,360.75,100.6,21863250,"6,793,383,940.60"
7/13/2021,310,312.25,308.15,307.45,310.65,310.95,310.09,360.75,100.6,25736308,"7,980,598,270.45"
7/12/2021,310.8,312,306.1,306.3,307.5,307.45,308.4,360.75,100.6,32282319,"9,955,765,580.30"
7/9/2021,305.8,308.85,301.85,306.35,307.35,306.3,306.02,360.75,100.6,48807214,"14,936,208,421.35"
7/8/2021,314.8,314.8,305,317.1,306.15,306.35,309.6,360.75,100.6,87360324,"27,046,880,894.05"
7/7/2021,316,319.1,306.25,316.9,317.25,317.1,313.64,360.75,100.6,112183313,"35,185,298,921.75"
7/6/2021,348,358.2,311.5,346.1,316.6,316.9,330.49,360.75,100.6,164083830,"54,228,396,910.80"
7/5/2021,347.05,350.1,344,344.9,345.8,346.1,347.14,360.75,100.6,18399524,"6,387,277,797.05"
7/2/2021,345.3,345.55,340.5,344.25,344.9,344.9,343.54,360.75,97.3,18304387,"6,288,348,486.95"
7/1/2021,341.5,347.4,341.2,339.6,344.5,344.25,344.48,360.75,97.3,27944816,"9,626,455,276.75"
6/30/2021,342,345.35,338.85,341.55,340,339.6,342.64,360.75,97.3,18277841,"6,262,630,345.30"
6/29/2021,342.65,346.5,339.6,342.8,342.3,341.55,343.24,360.75,97.3,22462297,"7,709,940,478.45"
6/28/2021,340.8,345,337.55,339.65,343,342.8,341,360.75,97.3,17843975,"6,084,880,410.00"
6/25/2021,335.9,342.8,335.9,334.65,339.1,339.65,340.03,360.75,97.3,22426352,"7,625,742,314.95"
6/24/2021,335,337.4,333.35,335.25,335.3,334.65,335.51,360.75,97.3,15580223,"5,227,377,961.40"
6/23/2021,341,343.25,334.3,337.9,335.5,335.25,338.98,360.75,97.3,25741628,"8,725,921,331.25"
6/22/2021,337.1,344.3,336.15,334.3,337.25,337.9,341.06,360.75,97.3,26708459,"9,109,087,248.90"
6/21/2021,330.9,335.8,326.2,337.4,334,334.3,331.38,360.75,97.3,29123887,"9,651,069,904.95"
6/18/2021,345.65,346.9,329,345.65,338.7,337.4,337.3,360.75,91.8,49440514,"16,676,211,279.70"
6/17/2021,348.4,352.9,342.25,349.35,344.9,345.65,347.75,360.75,91.8,29236974,"10,167,301,410.35"
6/16/2021,350.1,356,348.1,352.7,348.35,349.35,351.5,360.75,91.8,27550588,"9,684,074,925.80"
6/15/2021,355.75,360.75,351.5,355.95,352,352.7,356.11,360.75,91.8,35526159,"12,651,139,220.10"
6/14/2021,350.05,357.9,341.1,350.75,355.85,355.95,350.96,358.9,91.8,38482142,"13,505,685,670.35"
6/11/2021,346,352.9,344.35,344.75,350,350.75,349.49,358.9,91.8,36441967,"12,736,254,497.20"
6/10/2021,345.2,347.85,342.4,343.35,345.05,344.75,345.05,358.9,91.8,24351860,"8,402,611,475.95"
6/9/2021,356.2,358.9,339.75,352.75,343.55,343.35,350.63,358.9,91.8,59334814,"20,804,788,075.45"
6/8/2021,346.25,356.65,337.5,345.5,356.5,352.75,346.15,357,91.8,44104954,"15,267,039,550.15"
6/7/2021,339.75,351,339.75,334.95,344.35,345.5,346.4,357,91.8,64986814,"22,511,445,127.60"
6/4/2021,325.15,336.9,324.25,325.65,336.8,334.95,330.33,357,88,41278749,"13,635,697,415.40"
6/3/2021,325.3,327.7,323.65,323,324.95,325.65,325.92,357,88,21408371,"6,977,408,798.45"
6/2/2021,315.95,324.4,315.6,318.1,322.9,323,320.96,357,88,26323777,"8,448,892,334.15"
6/1/2021,319.2,325.7,317.3,318.75,318.3,318.1,320.48,357,88,32595728,"10,446,167,765.05"
5/31/2021,318.7,319.75,312.1,318.75,318.9,318.75,316.65,357,88,30917309,"9,790,007,682.00"
5/28/2021,322.65,324.5,316.5,318.6,319.8,318.75,320.4,357,82.6,26618815,"8,528,640,138.35"
5/27/2021,317.05,323.45,316.55,315.5,319,318.6,320.59,357,82.6,49484106,"15,864,225,963.10"
5/26/2021,316.1,320,314.8,315.25,315.15,315.5,317.63,357,82.6,28639717,"9,096,923,036.75"
5/25/2021,315.55,319,313.85,311.85,314.9,315.25,316.69,357,82.6,37382263,"11,838,548,199.00"
5/24/2021,314.75,315.8,310.2,313.1,311.8,311.85,313.24,357,82.6,31963997,"10,012,299,795.85"
5/21/2021,312,315.7,309.5,307.7,312.4,313.1,312.81,357,79.6,40358753,"12,624,718,438.75"
5/20/2021,316,316.6,306.1,314.45,308,307.7,310.47,357,79.6,54043899,"16,778,950,024.40"
5/19/2021,313,322.95,312.1,332.45,314.1,314.45,316.24,357,79.6,119407026,"37,761,459,386.20"
5/18/2021,325.95,336.65,324,321.1,332,332.45,331.11,357,79.6,86153088,"28,526,171,912.65"
5/17/2021,315.4,323.85,311.4,312.25,321.75,321.1,317.96,357,79.6,51162423,"16,267,582,786.40"
5/14/2021,329.35,329.5,310,326,312.6,312.25,318.19,357,79.6,81305325,"25,870,430,404.85"
5/12/2021,318.25,334.75,316.25,315.55,325.55,326,326.37,357,79.6,111584920,"36,417,910,308.95"
5/11/2021,309.55,320.75,308.1,314.85,314.45,315.55,316.17,357,79.6,58472304,"18,487,036,052.35"
5/10/2021,304.5,315.7,304,302.75,314.35,314.85,310.52,357,79.6,53260388,"16,538,427,981.10"
5/7/2021,303,305.95,300.5,301.25,301.45,302.75,303.34,357,79.6,41591323,"12,616,475,889.85"
5/6/2021,291.5,302,290.3,291.5,301.05,301.25,297.01,357,79.6,45032502,"13,375,217,303.80"
5/5/2021,293.5,293.9,288.5,289.45,292.25,291.5,291.05,357,79.6,29350536,"8,542,557,907.75"
5/4/2021,296.35,299.75,288.05,293,289.95,289.45,293.92,357,79.6,38640006,"11,356,882,614.15"
5/3/2021,289.3,294.75,285,293.85,293.1,293,290.96,357,79.6,35376618,"10,293,317,764.30"
4/30/2021,298.2,301.3,292.55,301.9,293.1,293.85,297.01,357,74.8,36121668,"10,728,487,262.65"
4/29/2021,308.9,310,301.25,305.9,302.2,301.9,304.77,357,74.8,36647292,"11,168,997,900.30"
4/28/2021,303.5,309.5,303,301.5,305.15,305.9,307.22,357,74.8,44668126,"13,722,777,839.30"
4/27/2021,295.7,302.5,295.1,295.4,302.1,301.5,299.05,357,74.8,35040532,"10,478,793,142.15"
4/26/2021,297,299,294.6,294,295.85,295.4,296.48,357,74.8,30583139,"9,067,386,454.95"
4/23/2021,291,300,290.5,294.55,293.2,294,295.04,357,72.55,58158986,"17,159,078,149.65"
4/22/2021,294,302.5,292.2,298.05,294.5,294.55,296.94,357,72.55,61022978,"18,120,454,264.15"
4/20/2021,307.7,308.15,294.2,301.4,297.4,298.05,301.99,357,72.55,56740291,"17,134,933,991.60"
4/19/2021,295,304.5,292.8,310,301.7,301.4,299.92,357,72.55,65791784,"19,732,092,260.55"
4/16/2021,302,315,300.15,303.5,308.75,310,310.71,357,71,75330709,"23,406,077,563.15"
4/15/2021,303,307.55,296.5,302.85,302.2,303.5,301.87,357,71,75262749,"22,719,453,457.45"
4/13/2021,287.25,304.55,280.55,286.55,302,302.85,293.11,357,71,116874853,"34,256,650,888.30"
4/12/2021,307.85,307.85,282.9,318.2,287.5,286.55,292.83,357,71,105342538,"30,847,255,981.55"
4/9/2021,313.2,325,312.5,313.95,317.55,318.2,320.77,357,65.4,75462572,"24,205,900,606.15"
4/8/2021,307.9,319.8,307.5,307.8,314,313.95,315.34,357,65.4,62459774,"19,696,335,826.85"
4/7/2021,306.75,310.65,305.1,307.75,307.65,307.8,308.53,357,65.4,39073986,"12,055,353,692.30"
4/6/2021,306.15,313.8,304.8,305.05,308,307.75,309.29,357,65.4,63031783,"19,495,030,379.85"
4/5/2021,306.8,311.7,297.2,307.75,305.5,305.05,304.12,357,65.4,66178755,"20,126,169,223.85"
4/1/2021,306.75,309.85,303.05,301.8,307.25,307.75,306.29,357,64.8,44088352,"13,503,816,549.80"
3/31/2021,299,307.5,297.5,297.05,301.45,301.8,303.68,357,64.8,58569012,"17,786,399,693.80"
3/30/2021,300.5,301.3,292.7,296.4,297.05,297.05,296.64,357,64.8,45257627,"13,425,325,715.15"
3/26/2021,290.5,301.4,290.5,285.55,296.75,296.4,296.4,357,63.5,80924011,"23,985,534,796.25"
3/25/2021,294,294,282.25,294.45,286,285.55,287.04,357,63.5,84528317,"24,262,713,318.75"
3/24/2021,303.55,305,293.2,307.4,294.75,294.45,299.54,357,63.5,61523819,"18,429,097,083.30"
3/23/2021,305,312.25,304,303.05,306.9,307.4,308.61,357,63.5,60240483,"18,590,765,503.80"
3/22/2021,306.45,307.5,300.1,308.95,302.85,303.05,303.74,357,63.5,56385019,"17,126,178,093.25"
3/19/2021,303.5,311,290.2,307,308.2,308.95,302.07,357,63.5,109932681,"33,207,043,605.15"
3/18/2021,311,316.6,299.75,305.8,308,307,309.64,357,63.5,73731921,"22,830,626,649.15"
3/17/2021,318.6,320,304,319.95,305.5,305.8,312.19,357,63.5,47262481,"14,755,101,722.35"
3/16/2021,321,321.9,315.1,318.55,319,319.95,318.53,357,63.5,39267404,"12,507,925,887.45"
3/15/2021,320,320.4,310.05,317.55,318.2,318.55,314.73,357,63.5,45083228,"14,188,906,470.40"
3/12/2021,325.05,326.5,314.15,321.45,317.45,317.55,320.29,357,63.5,48360842,"15,489,475,023.45"
3/10/2021,319.5,324.45,316.7,315.2,321.75,321.45,321.13,357,63.5,58643853,"18,832,196,592.95"
